epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,70.8515,4.70375,7.33844,4.19691,0,0,0,0,5.32345,5.08671,4.19627,0.0033046,0.0033046,0.0033046
2,138.767,2.57347,4.95489,2.61071,0.43327,0.35729,0.29624,0.17483,1.77735,3.47293,2.01243,0.00660507,0.00660507,0.00660507
3,196.545,1.43318,2.86572,1.56083,0.42717,0.50437,0.45204,0.31173,1.41217,3.45262,1.76848,0.00987255,0.00987255,0.00987255
4,254.945,1.1174,1.94977,1.29437,0.51649,0.59077,0.54131,0.38307,1.33722,3.12358,1.61665,0.0098515,0.0098515,0.0098515
5,312.46,0.96791,1.50297,1.17633,0.52157,0.62524,0.60173,0.3856,1.42504,2.04,1.6687,0.009802,0.009802,0.009802
6,369.967,0.8811,1.27564,1.11074,0.68132,0.6973,0.73004,0.54194,1.07473,1.36765,1.3031,0.0097525,0.0097525,0.0097525
7,436.761,0.83268,1.16926,1.08409,0.73005,0.67663,0.75005,0.61755,0.77492,1.1393,1.11258,0.009703,0.009703,0.009703
8,494.154,0.78476,1.06926,1.0537,0.74216,0.71161,0.79003,0.62594,0.84113,1.08257,1.13456,0.0096535,0.0096535,0.0096535
9,552.782,0.75238,0.9945,1.02981,0.70007,0.69515,0.76532,0.57201,1.0067,1.46557,1.22613,0.009604,0.009604,0.009604
10,609.787,0.7221,0.93563,1.01878,0.70202,0.73946,0.77982,0.66248,0.62682,1.18162,1.02923,0.0095545,0.0095545,0.0095545
11,667.024,0.6869,0.87517,0.99605,0.75443,0.75115,0.83488,0.68201,0.74172,0.92425,1.0688,0.009505,0.009505,0.009505
12,724.575,0.67433,0.8484,0.99523,0.79152,0.72217,0.84382,0.71915,0.60892,0.96781,1.0112,0.0094555,0.0094555,0.0094555
13,782.034,0.65593,0.83093,0.98178,0.81169,0.7924,0.85064,0.74165,0.55162,0.84384,0.981,0.009406,0.009406,0.009406
14,840.352,0.64343,0.79164,0.97331,0.79963,0.82353,0.87552,0.71834,0.73604,0.73618,1.05249,0.0093565,0.0093565,0.0093565
15,910.429,0.63721,0.76294,0.97046,0.85041,0.83239,0.89548,0.77144,0.58345,0.67353,0.98793,0.009307,0.009307,0.009307
16,968.404,0.62071,0.73974,0.965,0.81666,0.78844,0.88122,0.77668,0.51964,0.75821,0.96374,0.0092575,0.0092575,0.0092575
17,1026.32,0.61171,0.71193,0.95579,0.79746,0.80473,0.88745,0.74233,0.68105,0.72795,1.03009,0.009208,0.009208,0.009208
18,1083.35,0.60132,0.6931,0.95172,0.82859,0.80808,0.88269,0.75644,0.61502,0.73877,0.9917,0.0091585,0.0091585,0.0091585
19,1141.02,0.60116,0.70028,0.95091,0.86977,0.83268,0.89789,0.75097,0.66013,0.66388,1.0068,0.009109,0.009109,0.009109
20,1198.56,0.58801,0.67471,0.94329,0.89493,0.8237,0.90678,0.81597,0.46932,0.61944,0.93522,0.0090595,0.0090595,0.0090595
21,1255.97,0.58232,0.66001,0.94292,0.81531,0.85969,0.91709,0.82049,0.46676,0.61811,0.92701,0.00901,0.00901,0.00901
22,1312.95,0.57637,0.65653,0.94068,0.82254,0.85338,0.90459,0.76453,0.65585,0.65906,0.996,0.0089605,0.0089605,0.0089605
23,1371.23,0.57163,0.63109,0.93535,0.88725,0.81363,0.90708,0.79633,0.52189,0.62977,0.94894,0.008911,0.008911,0.008911
24,1429.02,0.56432,0.62598,0.93222,0.89266,0.86399,0.93125,0.8381,0.44896,0.53849,0.92108,0.0088615,0.0088615,0.0088615
25,1486.99,0.55474,0.62269,0.93004,0.85881,0.8424,0.91236,0.81921,0.47837,0.64759,0.93083,0.008812,0.008812,0.008812
26,1544.2,0.55655,0.61049,0.92918,0.8634,0.83107,0.91428,0.77775,0.6531,0.61533,0.98947,0.0087625,0.0087625,0.0087625
27,1601.99,0.5487,0.607,0.92199,0.8654,0.84602,0.92204,0.83578,0.44458,0.55717,0.91344,0.008713,0.008713,0.008713
28,1658.87,0.54848,0.60119,0.9226,0.90414,0.79823,0.91317,0.81841,0.48195,0.61231,0.93155,0.0086635,0.0086635,0.0086635
29,1716.02,0.53327,0.58624,0.91682,0.86893,0.88205,0.92546,0.82668,0.48019,0.52602,0.91956,0.008614,0.008614,0.008614
30,1773.42,0.53,0.57439,0.91734,0.92322,0.86322,0.9366,0.8511,0.44277,0.47441,0.90962,0.0085645,0.0085645,0.0085645
31,1831.34,0.52764,0.57045,0.91588,0.89651,0.83187,0.91786,0.82024,0.48517,0.59123,0.92796,0.008515,0.008515,0.008515
32,1888.57,0.52423,0.56718,0.91223,0.91248,0.87349,0.92647,0.81935,0.51936,0.52707,0.93742,0.0084655,0.0084655,0.0084655
33,1946.02,0.52163,0.56429,0.91026,0.90671,0.8363,0.92109,0.83545,0.45186,0.54735,0.91408,0.008416,0.008416,0.008416
34,2003.85,0.51401,0.54483,0.90777,0.90103,0.87277,0.93992,0.85589,0.43509,0.51046,0.905,0.0083665,0.0083665,0.0083665
35,2061.05,0.51477,0.55121,0.90892,0.83543,0.84327,0.91465,0.81407,0.49688,0.60972,0.9246,0.008317,0.008317,0.008317
36,2118.99,0.51123,0.53719,0.90567,0.89237,0.87761,0.93349,0.81442,0.57393,0.54224,0.94988,0.0082675,0.0082675,0.0082675
37,2176.81,0.50141,0.52545,0.90162,0.89427,0.89294,0.93897,0.84639,0.46209,0.48962,0.90751,0.008218,0.008218,0.008218
38,2233.64,0.49949,0.52981,0.90343,0.92108,0.87085,0.94303,0.85374,0.45695,0.46832,0.90441,0.0081685,0.0081685,0.0081685
39,2291.3,0.49926,0.52138,0.89876,0.93102,0.89701,0.94764,0.83696,0.55637,0.44345,0.94008,0.008119,0.008119,0.008119
40,2348.2,0.48848,0.51672,0.89736,0.8972,0.89955,0.94914,0.85933,0.45887,0.4486,0.91012,0.0080695,0.0080695,0.0080695
41,2406.59,0.49442,0.51803,0.89814,0.92109,0.88105,0.94017,0.86824,0.3971,0.44367,0.89003,0.00802,0.00802,0.00802
42,2463.84,0.49554,0.50865,0.89986,0.91597,0.87328,0.94176,0.87099,0.402,0.44231,0.88731,0.0079705,0.0079705,0.0079705
43,2521.07,0.48959,0.51411,0.90027,0.93107,0.8893,0.94773,0.87121,0.40498,0.4253,0.89073,0.007921,0.007921,0.007921
44,2577.96,0.48609,0.51067,0.89829,0.91962,0.89117,0.94578,0.88123,0.38317,0.42413,0.88299,0.0078715,0.0078715,0.0078715
45,2635.21,0.48107,0.50023,0.89221,0.91671,0.88597,0.9439,0.87025,0.4048,0.45302,0.88656,0.007822,0.007822,0.007822
46,2692.12,0.48389,0.48928,0.89308,0.90834,0.90287,0.95057,0.87785,0.40766,0.4332,0.88717,0.0077725,0.0077725,0.0077725
47,2749.48,0.4771,0.48458,0.8883,0.92985,0.89725,0.95285,0.87363,0.41475,0.41622,0.88823,0.007723,0.007723,0.007723
48,2806.68,0.47843,0.48936,0.89418,0.9077,0.90499,0.94511,0.86648,0.42838,0.42415,0.89293,0.0076735,0.0076735,0.0076735
49,2863.85,0.47371,0.48244,0.88927,0.9156,0.91092,0.95044,0.88566,0.38138,0.40621,0.87851,0.007624,0.007624,0.007624
50,2922.3,0.47652,0.48333,0.89188,0.92769,0.89129,0.95025,0.88237,0.38737,0.41808,0.87975,0.0075745,0.0075745,0.0075745
51,2978.63,0.47006,0.47616,0.88666,0.93202,0.90578,0.9552,0.88177,0.40385,0.41208,0.88332,0.007525,0.007525,0.007525
52,3036.31,0.46807,0.47373,0.88816,0.93289,0.90247,0.95611,0.8909,0.39366,0.40465,0.8842,0.0074755,0.0074755,0.0074755
53,3093.39,0.46565,0.47545,0.88788,0.91663,0.90345,0.95299,0.8803,0.4095,0.40804,0.88595,0.007426,0.007426,0.007426
54,3151.36,0.47019,0.47259,0.89004,0.92067,0.91162,0.95566,0.88923,0.38696,0.39716,0.87891,0.0073765,0.0073765,0.0073765
55,3208.6,0.46074,0.45422,0.88353,0.92893,0.90769,0.9579,0.89157,0.38865,0.38178,0.87853,0.007327,0.007327,0.007327
56,3265.93,0.4619,0.46411,0.88402,0.9261,0.91601,0.95836,0.89467,0.37619,0.38312,0.87499,0.0072775,0.0072775,0.0072775
57,3323.93,0.46479,0.46314,0.88589,0.91924,0.93923,0.96126,0.90218,0.365,0.36026,0.87007,0.007228,0.007228,0.007228
58,3381.46,0.45923,0.45654,0.88449,0.9239,0.91489,0.95998,0.89698,0.37929,0.37607,0.87397,0.0071785,0.0071785,0.0071785
59,3438.88,0.45802,0.44845,0.88234,0.91704,0.91555,0.95723,0.89812,0.36756,0.41166,0.87447,0.007129,0.007129,0.007129
60,3496.29,0.45633,0.44663,0.88202,0.92904,0.9192,0.95889,0.90198,0.3582,0.39439,0.87154,0.0070795,0.0070795,0.0070795
61,3553.87,0.45562,0.44847,0.88079,0.92722,0.93654,0.95892,0.89282,0.38945,0.36206,0.87818,0.00703,0.00703,0.00703
62,3611.89,0.45534,0.44593,0.87978,0.93604,0.92254,0.96367,0.89886,0.37864,0.37489,0.8737,0.0069805,0.0069805,0.0069805
63,3669.5,0.45198,0.43765,0.87977,0.92832,0.91594,0.95568,0.9022,0.34802,0.37252,0.86732,0.006931,0.006931,0.006931
64,3726.4,0.44312,0.4365,0.87689,0.918,0.92932,0.95988,0.90692,0.34538,0.38174,0.86428,0.0068815,0.0068815,0.0068815
65,3784.44,0.44669,0.4372,0.87738,0.92559,0.9356,0.96138,0.90833,0.35321,0.36747,0.86876,0.006832,0.006832,0.006832
66,3842.26,0.44804,0.43518,0.87826,0.92012,0.92606,0.96299,0.90714,0.35561,0.36916,0.86901,0.0067825,0.0067825,0.0067825
67,3899.73,0.44387,0.4318,0.87637,0.91573,0.91447,0.96088,0.90471,0.35895,0.38438,0.86734,0.006733,0.006733,0.006733
68,3956.95,0.44369,0.42493,0.87698,0.93596,0.91864,0.96294,0.9117,0.33561,0.34916,0.86316,0.0066835,0.0066835,0.0066835
69,4014.56,0.44555,0.43175,0.87958,0.9414,0.90691,0.96215,0.90792,0.35258,0.36143,0.86808,0.006634,0.006634,0.006634
70,4072.13,0.44348,0.4245,0.87492,0.93353,0.91563,0.96077,0.90603,0.35144,0.37577,0.86753,0.0065845,0.0065845,0.0065845
71,4129.14,0.444,0.43236,0.87563,0.92871,0.9409,0.96504,0.91433,0.34318,0.33373,0.86382,0.006535,0.006535,0.006535
72,4186.22,0.44311,0.43001,0.87382,0.92832,0.93976,0.96473,0.91252,0.3496,0.34397,0.86574,0.0064855,0.0064855,0.0064855
73,4243.45,0.43512,0.41754,0.87293,0.90612,0.94676,0.96214,0.91064,0.34995,0.35125,0.86443,0.006436,0.006436,0.006436
74,4300.05,0.435,0.41714,0.87326,0.92198,0.94859,0.96308,0.91415,0.33767,0.34246,0.86292,0.0063865,0.0063865,0.0063865
75,4357.78,0.43875,0.42039,0.87482,0.91953,0.93965,0.96502,0.91622,0.33704,0.33675,0.85999,0.006337,0.006337,0.006337
76,4415.73,0.43302,0.41398,0.87163,0.9158,0.94314,0.96368,0.90885,0.35406,0.34256,0.86514,0.0062875,0.0062875,0.0062875
77,4472.54,0.43796,0.41003,0.87412,0.91659,0.94287,0.96402,0.91317,0.34915,0.34528,0.86315,0.006238,0.006238,0.006238
78,4529.5,0.43301,0.41398,0.87111,0.92835,0.93566,0.96428,0.91311,0.34552,0.34909,0.86105,0.0061885,0.0061885,0.0061885
