epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,55.5339,3.90626,6.81574,3.66573,0.09032,0.06451,0.01978,0.01028,3.95904,8.78145,6.84101,0.000237355,0.000237355,0.000237355
2,109.068,1.88029,3.586,2.15079,0.34098,0.20042,0.16633,0.09185,2.48412,105.129,3.69772,0.000474179,0.000474179,0.000474179
3,162.406,1.39594,2.31944,1.59893,0.82784,0.89748,0.90902,0.65888,1.02366,0.98471,1.26999,0.000709824,0.000709824,0.000709824
4,215.085,1.14304,1.83144,1.35989,0.97009,0.82295,0.92486,0.63747,1.16942,0.81996,1.2911,0.000708699,0.000708699,0.000708699
5,268.018,1.03006,1.25876,1.27481,0.88286,0.85591,0.93357,0.7297,0.75325,0.76202,1.06146,0.000706931,0.000706931,0.000706931
6,320.757,0.97072,1.15069,1.21466,0.93634,0.85478,0.944,0.73956,0.86604,0.64118,1.12528,0.000705164,0.000705164,0.000705164
7,374.353,0.88412,0.95377,1.15414,0.97777,0.87636,0.95094,0.72623,0.94189,0.66427,1.15833,0.000703397,0.000703397,0.000703397
8,427.927,0.91587,0.94908,1.18453,0.98116,0.89057,0.95254,0.79525,0.65796,0.57292,0.99377,0.00070163,0.00070163,0.00070163
9,481.115,0.84206,0.86485,1.10876,0.96905,0.87032,0.96432,0.72634,1.02985,0.64325,1.22749,0.000699863,0.000699863,0.000699863
10,534.472,0.83376,0.7911,1.10414,0.95754,0.93928,0.97425,0.74761,0.87136,0.52268,1.09927,0.000698096,0.000698096,0.000698096
11,587.802,0.82128,0.77029,1.09914,0.97895,0.88936,0.96446,0.74993,0.76888,0.56562,1.03662,0.000696328,0.000696328,0.000696328
12,640.589,0.82844,0.75912,1.10018,0.97818,0.88042,0.97298,0.78755,0.71581,0.6057,1.00905,0.000694561,0.000694561,0.000694561
13,693.527,0.80519,0.74577,1.06893,0.98171,0.88603,0.97076,0.76403,0.88166,0.52361,1.10173,0.000692794,0.000692794,0.000692794
14,746.749,0.79707,0.6959,1.07865,0.98046,0.89921,0.97302,0.72047,0.95122,0.50088,1.1452,0.000691027,0.000691027,0.000691027
15,799.628,0.78754,0.69856,1.08867,0.97776,0.95142,0.97724,0.77699,0.83837,0.49522,1.06545,0.00068926,0.00068926,0.00068926
